dt,N2O_ppb,d15Nbulk_permil,﻿d18O_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_﻿d18O_permil
1982.5,302.3,NA,NA,3,NA,NA
1979,324.3,NA,NA,3,NA,NA
1973,289.6,NA,NA,3,NA,NA
1968,287.7,NA,NA,3,NA,NA
1963,288.4,NA,NA,3,NA,NA
1957,282.5,NA,NA,3,NA,NA
1948,283.1,NA,NA,3,NA,NA
1937,282.2,NA,NA,3,NA,NA
1929,280,NA,NA,3,NA,NA
1924,272.6,NA,NA,3,NA,NA
1915,274.5,NA,NA,3,NA,NA
1912,273.3,NA,NA,3,NA,NA
1907,272.8,NA,NA,3,NA,NA
1903,270.7,NA,NA,3,NA,NA
1895,261.1,NA,NA,3,NA,NA
1891,267.5,NA,NA,3,NA,NA
1884,266.1,NA,NA,3,NA,NA
1877,271.7,NA,NA,3,NA,NA
1869,265.3,NA,NA,3,NA,NA
1862,265.9,NA,NA,3,NA,NA
1855,270.3,NA,NA,3,NA,NA
1848,265.5,NA,NA,3,NA,NA
1840,260.8,NA,NA,3,NA,NA
1834,263.7,NA,NA,3,NA,NA
1829,276.5,NA,NA,3,NA,NA
1816,257.9,NA,NA,3,NA,NA
1806,267.5,NA,NA,3,NA,NA
1802,264.7,NA,NA,3,NA,NA
1802,268.5,NA,NA,3,NA,NA
1797.28,268.6,NA,NA,3,NA,NA
1797.06,263.2,NA,NA,3,NA,NA
1797.06,267.5,NA,NA,3,NA,NA
1794.55,265,NA,NA,3,NA,NA
1787.45,274.8,NA,NA,3,NA,NA
1787.45,261.1,NA,NA,3,NA,NA
1787.45,264.7,NA,NA,3,NA,NA
1787.45,270.3,NA,NA,3,NA,NA
1990,NA,8.281,44.932,NA,0.6,1
1987,NA,7.21556,44.5443,NA,0.6,1
1978,NA,8.2271,45.576,NA,0.6,1
1959,NA,7.77642,43.2834,NA,0.6,1
1952,NA,9.428,46.546,NA,0.6,1
1941,NA,6.57458,42.2412,NA,0.6,1
1940,NA,7.99675,43.1792,NA,0.6,1
1928,NA,9.451,45.702,NA,0.6,1
1926,NA,8.29721,44.5339,NA,0.6,1
1917,NA,9.451,45.592,NA,0.6,1
1909,NA,9.691,46.002,NA,0.6,1
1900,NA,9.238,46.636,NA,0.6,1
1898,NA,9.688,45.846,NA,0.6,1
1896,NA,9.34882,46.1075,NA,0.6,1
1894,NA,8.37733,44.6381,NA,0.6,1
1819,NA,9.84958,46.9308,NA,0.6,1
1810,NA,10.5894,48.8588,NA,0.6,1
1801,NA,9.90942,46.2588,NA,0.6,1
1795,NA,11.0414,48.4419,NA,0.6,1
1791,NA,9.74943,47.3164,NA,0.6,1
1785,NA,9.25868,46.7536,NA,0.6,1